Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000095017025024745,EX-21,"https://www.sec.gov/Archives/edgar/data/1070985/000095017025024745/cxw-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000010714025000081,EX-21,"https://www.sec.gov/Archives/edgar/data/107140/000010714025000081/wly-20250430x10kxexx21.htm",Failed,"FAILED","","0","","","","","false"
000107173925000027,EX-21,"https://www.sec.gov/Archives/edgar/data/1071739/000107173925000027/a2024123110-kexhibit21.htm",Failed,"FAILED","","0","","","","","false"
000165495425014138,EX-21,"https://www.sec.gov/Archives/edgar/data/1074828/000165495425014138/usbc/ex211.htm",Failed,"FAILED","","0","","","","","false"
000143774925007283,EX-21,"https://www.sec.gov/Archives/edgar/data/1074902/000143774925007283/ex/718553.htm",Failed,"FAILED","","0","","","","","false"
000107718325000028,EX-21,"https://www.sec.gov/Archives/edgar/data/1077183/000107718325000028/exhibit211listofsubsidiari.htm",Failed,"FAILED","","0","","","","","false"
000108255425000005,EX-21,"https://www.sec.gov/Archives/edgar/data/1082554/000108255425000005/uthrexh211231202410k.htm",Failed,"FAILED","","0","","","","","false"
000155837025008172,EX-21,"https://www.sec.gov/Archives/edgar/data/1083220/000155837025008172/xelb-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000108330125000018,EX-21,"https://www.sec.gov/Archives/edgar/data/1083301/000108330125000018/ex211-listofsubsidiaries.htm",Failed,"FAILED","","0","","","","","false"
000164117225001951,EX-21,"https://www.sec.gov/Archives/edgar/data/1083522/000164117225001951/ex21-1.htm",Failed,"FAILED","","0","","","","","false"
000108486925000017,EX-21,"https://www.sec.gov/Archives/edgar/data/1084869/000108486925000017/flws-20250629xexx211.htm",Failed,"FAILED","","0","","","","","false"
000108499125000024,EX-21,"https://www.sec.gov/Archives/edgar/data/1084991/000108499125000024/a123124-ngsxex211subsidiar.htm",Failed,"FAILED","","0","","","","","false"
000095017025100137,EX-21,"https://www.sec.gov/Archives/edgar/data/108516/000095017025100137/wor-ex21.htm",Failed,"FAILED","","0","","","","","false"
000164117225000951,EX-21,"https://www.sec.gov/Archives/edgar/data/1085243/000164117225000951/ex21-1.htm",Failed,"FAILED","","0","","","","","false"
000108622225000028,EX-21,"https://www.sec.gov/Archives/edgar/data/1086222/000108622225000028/exhibit211/10k2024.htm",Failed,"FAILED","","0","","","","","false"
000155837025001805,EX-21,"https://www.sec.gov/Archives/edgar/data/1086600/000155837025001805/arlp-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000108906325000012,EX-21,"https://www.sec.gov/Archives/edgar/data/1089063/000108906325000012/dks-exhibit/21x20250201.htm",Failed,"FAILED","","0","","","","","false"
000120677425000099,EX-21,"https://www.sec.gov/Archives/edgar/data/1090009/000120677425000099/sfst4401651-ex21.htm",Failed,"FAILED","","0","","","","","false"
